,slink,category,catlink
59,https://smartstore.naver.com/woogorabbit,베스트,https://smartstore.naver.com/woogorabbit/best?cp=1
60,https://smartstore.naver.com/woogorabbit,🎉이벤트상품,https://smartstore.naver.com/woogorabbit/category/b6aff1b4cc64427d94abd5bfcb7f3409?cp=1
61,https://smartstore.naver.com/woogorabbit,📦무료배송,https://smartstore.naver.com/woogorabbit/category/409074df6f7b436ba10bce06fb502af0?cp=1
62,https://smartstore.naver.com/woogorabbit,🍵래빗 허브차,https://smartstore.naver.com/woogorabbit/category/b3ebbd7662f54801929f31f99aa083e1?cp=1
63,https://smartstore.naver.com/woogorabbit,🍹래빗 블렌딩차,https://smartstore.naver.com/woogorabbit/category/212de654fb104726a62d379f3606663a?cp=1
64,https://smartstore.naver.com/woogorabbit,🫖래빗 건강차,https://smartstore.naver.com/woogorabbit/category/05c5d5eab4dd4a038262db92013cc6b2?cp=1
65,https://smartstore.naver.com/woogorabbit,🥜래빗 견과,https://smartstore.naver.com/woogorabbit/category/4413cba7aef74b80a6226d71af2007c7?cp=1
66,https://smartstore.naver.com/woogorabbit,🍬래빗 간식,https://smartstore.naver.com/woogorabbit/category/56c391ca9f7246bb866df0df557ee400?cp=1
67,https://smartstore.naver.com/woogorabbit,🐰래빗 굿즈,https://smartstore.naver.com/woogorabbit/category/23b052de79704bcd9d2578f91f449847?cp=1
68,https://smartstore.naver.com/woogorabbit,전체상품,https://smartstore.naver.com/woogorabbit/category/af0331b7383f44b1a1849212e01743c8?cp=1
69,https://smartstore.naver.com/jeongjin_,인테리어 가습기하위 메뉴 있음,https://smartstore.naver.com/jeongjin_/category/a30e35e8143d436f998c19169893ced6?cp=1
70,https://smartstore.naver.com/jeongjin_,무중력 물방울 가습기,https://smartstore.naver.com/jeongjin_/category/b45d3400d0d140718dad28229f263896?cp=1
71,https://smartstore.naver.com/jeongjin_,전체상품,https://smartstore.naver.com/jeongjin_/category/d065e52b3d4746f2a4015b485c854172?cp=1
72,https://smartstore.naver.com/talk_that_griptok,BEST,https://smartstore.naver.com/talk_that_griptok/best?cp=1
73,https://smartstore.naver.com/talk_that_griptok,GRIPTOK,https://smartstore.naver.com/talk_that_griptok/category/2c52067db4a1490cad10e472512980ca?cp=1
74,https://smartstore.naver.com/talk_that_griptok,CASE,https://smartstore.naver.com/talk_that_griptok/category/729339b4a1ef425f8a0bb7739b91adb2?cp=1
75,https://smartstore.naver.com/talk_that_griptok,KEYRING,https://smartstore.naver.com/talk_that_griptok/category/a3bf9937e0e74fb7a725b4c3d54b01d0?cp=1
76,https://smartstore.naver.com/talk_that_griptok,AIRPODS,https://smartstore.naver.com/talk_that_griptok/category/33f19827b008410ca09be05467837cd2?cp=1
77,https://smartstore.naver.com/talk_that_griptok,POUCH,https://smartstore.naver.com/talk_that_griptok/category/6489e4328de9460dbbd35774e16cbe03?cp=1
78,https://smartstore.naver.com/talk_that_griptok,ALL,https://smartstore.naver.com/talk_that_griptok/category/20bf14b32ffb4fdc9cc378632f183cee?cp=1
79,https://smartstore.naver.com/mnjj88,베스트,https://smartstore.naver.com/mnjj88/best?cp=1
80,https://smartstore.naver.com/mnjj88,전기온풍기,https://smartstore.naver.com/mnjj88/category/85a973f710364aa4aeb125e2a3b85496?cp=1
81,https://smartstore.naver.com/mnjj88,산업용제습기,https://smartstore.naver.com/mnjj88/category/9b96f52bce7741f1abe83603e3dfb3b8?cp=1
82,https://smartstore.naver.com/mnjj88,이동식에어컨,https://smartstore.naver.com/mnjj88/category/2fab88735e7943adbeab9550b49c6a12?cp=1
83,https://smartstore.naver.com/mnjj88,돈풍기,https://smartstore.naver.com/mnjj88/category/20873a5740ca42dfa9e36b3bfb3f8314?cp=1
84,https://smartstore.naver.com/mnjj88,전체상품,https://smartstore.naver.com/mnjj88/category/020aa5368cec4d0d995024f873b4d1e3?cp=1
85,https://smartstore.naver.com/littlespoon,베스트,https://smartstore.naver.com/littlespoon/best?cp=1
86,https://smartstore.naver.com/littlespoon,전체상품,https://smartstore.naver.com/littlespoon/category/0fbdf184de0c4895acf02f9369406ec2?cp=1
87,https://smartstore.naver.com/littlespoon,뚝딱영양한스푼,https://smartstore.naver.com/littlespoon/category/ee5a2d95d99b489a951e669d29dcd201?cp=1
88,https://smartstore.naver.com/littlespoon,유기농쌀과자&동결건조과일칩,https://smartstore.naver.com/littlespoon/category/309159a97616420c9e734f38efc79b76?cp=1
89,https://smartstore.naver.com/littlespoon,건강간식,https://smartstore.naver.com/littlespoon/category/84b71b237fe241af912d12f1d42ba9a5?cp=1
90,https://smartstore.naver.com/newhundred,식품하위 메뉴 있음,https://smartstore.naver.com/newhundred/category/50000006?cp=1
91,https://smartstore.naver.com/newhundred,전체상품,https://smartstore.naver.com/newhundred/category/ALL?cp=1
92,https://smartstore.naver.com/insiderittem,여가/생활편의하위 메뉴 있음,https://smartstore.naver.com/insiderittem/category/50000009?cp=1
93,https://smartstore.naver.com/insiderittem,전체상품,https://smartstore.naver.com/insiderittem/category/ALL?cp=1
94,https://smartstore.naver.com/supertango,베스트,https://smartstore.naver.com/supertango/best?cp=1
95,https://smartstore.naver.com/supertango,여성 남성 커플 잠옷하위 메뉴 있음,https://smartstore.naver.com/supertango/category/8537a3f10b0f4a58a55f703d282da771?cp=1
96,https://smartstore.naver.com/supertango,여성 원피스 잠옷 로브가운,https://smartstore.naver.com/supertango/category/1309146a1c004c47a396cc0699a78ece?cp=1
97,https://smartstore.naver.com/supertango,패밀리룩 가족잠옷,https://smartstore.naver.com/supertango/category/a8ab2ad4f6e9499eab609c2f2812659b?cp=1
98,https://smartstore.naver.com/supertango,주니어 잠옷,https://smartstore.naver.com/supertango/category/49f18a45d95542f9b67bfd29dc3a1fac?cp=1
99,https://smartstore.naver.com/supertango,홈웨어 바지,https://smartstore.naver.com/supertango/category/09376383c8f44f2b9cc628b07c3fb719?cp=1
100,https://smartstore.naver.com/supertango,양말 etc.,https://smartstore.naver.com/supertango/category/f3b279b15aae461eb8688d5e1d6f428a?cp=1
101,https://smartstore.naver.com/supertango,전체상품,https://smartstore.naver.com/supertango/category/871a382da5044333970922ff8067831d?cp=1
102,https://smartstore.naver.com/els_,여가/생활편의하위 메뉴 있음,https://smartstore.naver.com/els_/category/50000009?cp=1
103,https://smartstore.naver.com/els_,전체상품,https://smartstore.naver.com/els_/category/ALL?cp=1
104,https://smartstore.naver.com/shshoo,베스트,https://smartstore.naver.com/shshoo/best?cp=1
105,https://smartstore.naver.com/shshoo,[인기] 테팔 모음집🔥,https://smartstore.naver.com/shshoo/category/a5fb8c82bbbe43a6b49ba3dd59fd114e?cp=1
106,https://smartstore.naver.com/shshoo,육아 꿀템👶🏻🎁,https://smartstore.naver.com/shshoo/category/dece9a59a4c5412d82fd9b4f37102b4c?cp=1
107,https://smartstore.naver.com/shshoo,전체상품,https://smartstore.naver.com/shshoo/category/c1d9cff2c4384d949c8adcd7fc306219?cp=1
108,https://smartstore.naver.com/all-seller,전체상품,https://smartstore.naver.com/all-seller/category/76fa4c84c00740c0b27476b28764f4c6?cp=1
109,https://smartstore.naver.com/simagic1,생활/건강하위 메뉴 있음,https://smartstore.naver.com/simagic1/category/50000008?cp=1
110,https://smartstore.naver.com/simagic1,전체상품,https://smartstore.naver.com/simagic1/category/ALL?cp=1
111,https://smartstore.naver.com/kongsister_,전체상품,https://smartstore.naver.com/kongsister_/category/5cfcb6e0ab504866b746e88077e25d82?cp=1
112,https://smartstore.naver.com/angdoo2,베스트,https://smartstore.naver.com/angdoo2/best?cp=1
113,https://smartstore.naver.com/angdoo2,패션의류하위 메뉴 있음,https://smartstore.naver.com/angdoo2/category/50000000?cp=1
114,https://smartstore.naver.com/angdoo2,패션잡화하위 메뉴 있음,https://smartstore.naver.com/angdoo2/category/50000001?cp=1
115,https://smartstore.naver.com/angdoo2,전체상품,https://smartstore.naver.com/angdoo2/category/ALL?cp=1
116,https://smartstore.naver.com/rootrigin,식품하위 메뉴 있음,https://smartstore.naver.com/rootrigin/category/50000006?cp=1
117,https://smartstore.naver.com/rootrigin,전체상품,https://smartstore.naver.com/rootrigin/category/ALL?cp=1
118,https://smartstore.naver.com/hajung_food,베스트,https://smartstore.naver.com/hajung_food/best?cp=1
119,https://smartstore.naver.com/hajung_food,우리가족 건강즙,https://smartstore.naver.com/hajung_food/category/6cc7b0a4ff1b42e3b9e54abdf9f158f8?cp=1
120,https://smartstore.naver.com/hajung_food,맛보기 건강즙,https://smartstore.naver.com/hajung_food/category/5edae42f4cd048258d874c337fd6a629?cp=1
121,https://smartstore.naver.com/hajung_food,이벤트,https://smartstore.naver.com/hajung_food/category/5336885297f04ecda823dec33a6c024d?cp=1
122,https://smartstore.naver.com/hajung_food,전체상품,https://smartstore.naver.com/hajung_food/category/738f818a50834767891f0133a9e1861b?cp=1
123,https://smartstore.naver.com/codemazm,베스트,https://smartstore.naver.com/codemazm/best?cp=1
124,https://smartstore.naver.com/codemazm,전체,https://smartstore.naver.com/codemazm/category/782dbaa70495440783a344a34368b48b?cp=1
125,https://smartstore.naver.com/codemazm,상의,https://smartstore.naver.com/codemazm/category/b205c3bd1dcc4da58dec854c05be674a?cp=1
126,https://smartstore.naver.com/codemazm,스커트,https://smartstore.naver.com/codemazm/category/2d2064b523364086b30c2d26b1ec78af?cp=1
127,https://smartstore.naver.com/codemazm,바지,https://smartstore.naver.com/codemazm/category/84bae10574ee4e508608b55a8f6041de?cp=1
128,https://smartstore.naver.com/codemazm,원피스,https://smartstore.naver.com/codemazm/category/902f3e316a19446baf54ade228fce55f?cp=1
129,https://smartstore.naver.com/codemazm,세트,https://smartstore.naver.com/codemazm/category/0bf9a2ddf1324941a77a9f565e7dbba8?cp=1
130,https://smartstore.naver.com/codemazm,신발,https://smartstore.naver.com/codemazm/category/3bc92fa3bf1f4c259ddb82d0c2011081?cp=1
131,https://smartstore.naver.com/codemazm,악세사리,https://smartstore.naver.com/codemazm/category/5e4ef6da4b9c4c81b1140485ca9c39fa?cp=1
132,https://smartstore.naver.com/spring_field,베스트,https://smartstore.naver.com/spring_field/best?cp=1
133,https://smartstore.naver.com/spring_field,패션잡화하위 메뉴 있음,https://smartstore.naver.com/spring_field/category/50000001?cp=1
134,https://smartstore.naver.com/spring_field,전체상품,https://smartstore.naver.com/spring_field/category/ALL?cp=1
135,https://smartstore.naver.com/moodychild,디지털/가전하위 메뉴 있음,https://smartstore.naver.com/moodychild/category/50000003?cp=1
136,https://smartstore.naver.com/moodychild,전체상품,https://smartstore.naver.com/moodychild/category/ALL?cp=1
137,https://smartstore.naver.com/holyrain,베스트,https://smartstore.naver.com/holyrain/best?cp=1
138,https://smartstore.naver.com/holyrain,화장품/미용하위 메뉴 있음,https://smartstore.naver.com/holyrain/category/50000002?cp=1
139,https://smartstore.naver.com/holyrain,전체상품,https://smartstore.naver.com/holyrain/category/ALL?cp=1
140,https://smartstore.naver.com/delidaykr,베스트,https://smartstore.naver.com/delidaykr/best?cp=1
141,https://smartstore.naver.com/delidaykr,전체상품,https://smartstore.naver.com/delidaykr/category/193d1982683b41b68efb1cce2942e801?cp=1
142,https://smartstore.naver.com/delidaykr,단백질바🍫,https://smartstore.naver.com/delidaykr/category/9772b2e4ce764e02b72bc983371b6720?cp=1
143,https://smartstore.naver.com/delidaykr,식단 도시락🍱,https://smartstore.naver.com/delidaykr/category/55514bad103549c88c2ad4ec9c1fe3e9?cp=1
144,https://smartstore.naver.com/delidaykr,클렌즈주스🍹,https://smartstore.naver.com/delidaykr/category/cadb72640dfc40479c1dbc6aaf25bd03?cp=1
145,https://smartstore.naver.com/delidaykr,단백질쉐이크🥤,https://smartstore.naver.com/delidaykr/category/0bc1045640654318ab26e743c0f7ea94?cp=1
146,https://smartstore.naver.com/delidaykr,고구마말랭이🍠,https://smartstore.naver.com/delidaykr/category/ff45b50dd05c422fb7cc093e4d2d4c39?cp=1
147,https://smartstore.naver.com/majangdongagain,베스트,https://smartstore.naver.com/majangdongagain/best?cp=1
148,https://smartstore.naver.com/majangdongagain,식품하위 메뉴 있음,https://smartstore.naver.com/majangdongagain/category/50000006?cp=1
149,https://smartstore.naver.com/majangdongagain,전체상품,https://smartstore.naver.com/majangdongagain/category/ALL?cp=1
150,https://smartstore.naver.com/vldiol,❤후원 목걸이❤,https://smartstore.naver.com/vldiol/category/b1069017d4564db0a8271d2b64ffd014?cp=1
151,https://smartstore.naver.com/vldiol,❤후원 팔찌❤,https://smartstore.naver.com/vldiol/category/011287821edf4f56ac9b6d214d1179e9?cp=1
152,https://smartstore.naver.com/vldiol,All Products,https://smartstore.naver.com/vldiol/category/d7d6f68ca6594222a6416d6298f3d696?cp=1
153,https://smartstore.naver.com/hygge_atelier,베스트,https://smartstore.naver.com/hygge_atelier/best?cp=1
154,https://smartstore.naver.com/hygge_atelier,전체상품,https://smartstore.naver.com/hygge_atelier/category/c9e1b1fe8b2c461098f4b45c31285a07?cp=1
155,https://smartstore.naver.com/hygge_atelier,가구인테리어소품,https://smartstore.naver.com/hygge_atelier/category/75fcd8e85a3c46a4b8b9b0a100c86ad8?cp=1
156,https://smartstore.naver.com/hygge_atelier,생활용품,https://smartstore.naver.com/hygge_atelier/category/13c90f63a1054f08a874acc04dc224fe?cp=1
157,https://smartstore.naver.com/hygge_atelier,주방용품,https://smartstore.naver.com/hygge_atelier/category/224a1c9e74d947e4902efcf7cac3083d?cp=1
158,https://smartstore.naver.com/poligon,베스트,https://smartstore.naver.com/poligon/best?cp=1
