,기입날짜,별점,옵션,후기
45,23.02.18.,5,"구성: 01.우고래빗 갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",쓰다고해서 돼지감자차랑같이 구매해서 마셨더니  쓴맛은 없더라구요.
46,23.02.15.,5,"구성: 03.우고래빗 갓볶은 우엉차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",국산차 잘먹을게요.
47,23.04.13.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",국산차  잘 먹을게요
48,23.04.13.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","그냥 맛을보니,맛이 많이 쓰네요ㆍ"
49,23.04.13.,4,"선택: 09.갓볶은 비트차 400g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","물을 우려 먹으려고 구입했는데,"
50,23.04.13.,4,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",우려 먹어 봐야 쓴맛이 구수한 맛으로 변할지 알겠네요
51,23.04.12.,4,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",보리차를 오래끓이면 구수해져요 맛은 좋아요 진하진않지만 
52,23.04.12.,4,"선택: 14.호박팥차 20T(2gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",티벳보리차가 해롭다고 해서 샀거든요 녹차원보리차보다도 맛이 더 좋아요
53,23.04.12.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",제품이 아주 좋았습니다 만족합니다
54,23.04.11.,4,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구수하고 포장도 잘 되어 있는데 건조식품이다보니 부서짐이 있네요ㅜㅜ
55,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",돼지감자차가 부서짐이 심해요
56,23.04.11.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빨리왔어요포장꼼꼼하게왔네요 잘마실게요
57,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구운향도 좋고
58,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 잘되잇고
59,23.04.10.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",진하게  우려집니다
60,23.03.01.,5,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",2+1이란 제목에 낚인기분.
61,23.03.23.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도맛 없어요유통기한꽤 남았어요포장적당해요",꼼꼼히 안읽어본 내 잘못인건가.
62,23.03.28.,5,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",그런식으로 소비자들을 헷갈리게 하는건 좋지못한것같네요. 반품할수없어 그냥 먹습니다.
63,23.03.26.,5,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",하나로마트갔는데 국내산 보리차 두배넘는량이 여기보다 싸네요. 다음엔 여기선 구매 안할듯 합니다.
64,23.03.26.,1,"구성: 티백 / 선택: 05.대추생강차 20T(1.5gx20개입)
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",ㅋㅋㅋ 모과는 좀 그래요~~~~
65,23.03.23.,2,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",생각보다 맛 괜찬아요 구수하고 좋아여 당뇨에 많은 도움 되었으면 합니다
66,23.03.14.,3,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",모과향이 많이 나질 않아요ㅜ
67,23.04.13.,3,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",잘 먹고 있습니다~^^
68,23.04.11.,3,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",모르는 맛이 궁금 했는데  쫌... 담에는 아는 맛을 주문해야겠어요
69,23.04.10.,3,"선택: 01.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",보틀 줘서 너무너무 고마워요
70,23.04.08.,3,"선택: 12.갓볶은 우엉차 300g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",잘우려나고 좋은데 부서러기가 좀 많네요
71,23.04.02.,4,"선택: 04.갓볶은 둥굴레차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",먹기에 편하고 위생적으로 아주 만족합니다
72,23.04.01.,4,"선택: 11.갓볶은 도라지차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",배송도빠르고제품도만족합니다
73,23.03.31.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",맛잇어모~재구매할게요
74,23.03.31.,4,"선택: 03.갓볶은 돼지감자차 200g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",돼지감자차는 처음 먹어보는데
75,23.03.31.,4,"선택: 05.갓볶은 여주차 100g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",쓴맛이 나는게 제취향은 아니네요.
76,23.03.28.,4,"선택: 05.갓볶은 여주차 100g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",모과를 좀 많이 넣었더니 첨엔 새콤하던 맛이 씁쓸해지내요~
77,23.03.28.,4,"선택: 10.갓볶은 모과차 200g
맛 만족도평범해요유통기한꽤 남았어요포장꼼꼼해요",아직  시음을  안해서 맛은  모르겠지만 
78,23.03.26.,4,"선택: 01.갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요",포장상태  깔끔하고  비염이  심해
79,23.03.26.,4,"선택: 07.갓볶은 보리차 500g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",물대신  마셔려고  구매했어요
80,23.03.22.,4,"선택: 04.갓볶은 둥굴레차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",효과가   있었음  좋겠어요
81,23.03.21.,4,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요",여주차와 같이 마시려고 구매했어요.
82,23.03.16.,4,"선택: 09.갓볶은 비트차 400g
유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요",여주차와 같이 마셨더니 쓴맛도 없고 좋아요.
83,23.03.15.,4,"선택: 02.갓볶은 우엉차 300g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",매일매일 잘 마시고 있어요.
84,23.03.10.,5,"선택: 03.갓볶은 돼지감자차 200g
맛 만족도맛 없어요유통기한아주 넉넉해요포장꼼꼼해요",생각보다 쓰지도 않고 우려먹었더니 괜찮아요.
85,23.02.18.,5,"구성: 01.우고래빗 갓볶은 돼지감자차 200g
맛 만족도평범해요유통기한꽤 남았어요포장적당해요",쓰다고해서 돼지감자차랑같이 구매해서 마셨더니  쓴맛은 없더라구요.
86,23.02.15.,5,"구성: 03.우고래빗 갓볶은 우엉차 300g
맛 만족도평범해요유통기한아주 넉넉해요포장적당해요",국산차 잘먹을게요.
87,23.04.13.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",국산차  잘 먹을게요
88,23.04.13.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","그냥 맛을보니,맛이 많이 쓰네요ㆍ"
89,23.04.13.,4,"선택: 09.갓볶은 비트차 400g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요","물을 우려 먹으려고 구입했는데,"
90,23.04.13.,4,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",우려 먹어 봐야 쓴맛이 구수한 맛으로 변할지 알겠네요
91,23.04.12.,4,"선택: 05.갓볶은 여주차 100g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",보리차를 오래끓이면 구수해져요 맛은 좋아요 진하진않지만 
92,23.04.12.,4,"선택: 14.호박팥차 20T(2gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",티벳보리차가 해롭다고 해서 샀거든요 녹차원보리차보다도 맛이 더 좋아요
93,23.04.12.,4,"선택: 03.갓볶은 작두콩차 200g
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",제품이 아주 좋았습니다 만족합니다
94,23.04.11.,4,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구수하고 포장도 잘 되어 있는데 건조식품이다보니 부서짐이 있네요ㅜㅜ
95,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",돼지감자차가 부서짐이 심해요
96,23.04.11.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",배송 빨리왔어요포장꼼꼼하게왔네요 잘마실게요
97,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",구운향도 좋고
98,23.04.11.,5,"선택: 13.돼지감자차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",포장도 잘되잇고
99,23.04.10.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",진하게  우려집니다
100,23.04.10.,5,"선택: 17.ABC차 20T(2gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강을 위해 주문했어요 구수하고 좋습니다
101,23.04.10.,5,"선택: 12.작두콩차 20T(1.5gx20개입)
유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요",건강해 지는 느낌 건강한 맛이에요.
102,23.04.10.,5,"선택: 09.갓볶은 비트차 400g
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",맛도 기대해봅니다.아직 안먹어봤어요.
103,23.04.10.,5,"선택: 10.갓볶은 모과차 200g
유통기한꽤 남았어요포장적당해요맛 만족도맛있어요",작두콩차는 처음 먹어보는데 구수하니 맛나네요 
